x-coordinate,y-coordinate,Similarity_score
isCredentialPhishing,emailSenderAge,1
isCredentialPhishing,isUrgent,1
isCredentialPhishing,MboxParser-reply-to,0.751851852
isCredentialPhishing,Message-To,0.751851852
isCredentialPhishing,misspellings,0.833333333
isCredentialPhishing,numbersOfUrls,1
isCredentialPhishing,Message:Raw-Header:Reply-To,0.751851852
isCredentialPhishing,Author,0.751851852
isCredentialPhishing,isSocialEngineering,1
isCredentialPhishing,urls,0.751851852
isCredentialPhishing,createdAt,0.833333333
isCredentialPhishing,X-TIKA:embedded_resource_path,1
isCredentialPhishing,X-TIKA:parse_time_millis,0.833333333
isCredentialPhishing,fraudScore,1
isCredentialPhishing,anyUrlsInContent,1
isCredentialPhishing,sentiment,1
isCredentialPhishing,Content-Type,1
isCredentialPhishing,randomCaps,1
isCredentialPhishing,X-TIKA:content_handler,0.833333333
isCredentialPhishing,locations,0.751851852
isCredentialPhishing,isReconnaissance,0.833333333
isCredentialPhishing,Message-From,0.833333333
isCredentialPhishing,isAttackerSuperior,0.833333333
isCredentialPhishing,isReceiverFromEduOrUniversity,0.751851852
isCredentialPhishing,X-TIKA:embedded_depth,1
isCredentialPhishing,attackerOffer,1
isCredentialPhishing,areUrlsMalicious,0.833333333
isCredentialPhishing,X-TIKA:content,0.833333333
isCredentialPhishing,X-Parsed-By,0.751851852
isCredentialPhishing,relationships,0.751851852
isCredentialPhishing,gdpPerCapitaPerCountry,1
isCredentialPhishing,isMalware,1
emailSenderAge,isUrgent,1
emailSenderAge,MboxParser-reply-to,0.751851852
emailSenderAge,Message-To,0.751851852
emailSenderAge,misspellings,1
emailSenderAge,numbersOfUrls,0.833333333
emailSenderAge,Message:Raw-Header:Reply-To,0.751851852
emailSenderAge,Author,0.751851852
emailSenderAge,isSocialEngineering,0.833333333
emailSenderAge,urls,0.751851852
emailSenderAge,createdAt,1
emailSenderAge,X-TIKA:embedded_resource_path,1
emailSenderAge,X-TIKA:parse_time_millis,0.833333333
emailSenderAge,fraudScore,0.833333333
emailSenderAge,anyUrlsInContent,0.833333333
emailSenderAge,sentiment,0.833333333
emailSenderAge,Content-Type,0.833333333
emailSenderAge,randomCaps,1
emailSenderAge,X-TIKA:content_handler,0.833333333
emailSenderAge,locations,0.751851852
emailSenderAge,isReconnaissance,0.833333333
emailSenderAge,Message-From,0.833333333
emailSenderAge,isAttackerSuperior,0.833333333
emailSenderAge,isReceiverFromEduOrUniversity,0.751851852
emailSenderAge,X-TIKA:embedded_depth,0.833333333
emailSenderAge,attackerOffer,0.833333333
emailSenderAge,areUrlsMalicious,1
emailSenderAge,X-TIKA:content,0.833333333
emailSenderAge,X-Parsed-By,0.751851852
emailSenderAge,relationships,0.835185185
emailSenderAge,gdpPerCapitaPerCountry,1
emailSenderAge,isMalware,1
isUrgent,MboxParser-reply-to,0.751851852
isUrgent,Message-To,0.751851852
isUrgent,misspellings,0.833333333
isUrgent,numbersOfUrls,1
isUrgent,Message:Raw-Header:Reply-To,0.751851852
isUrgent,Author,0.751851852
isUrgent,isSocialEngineering,0.833333333
isUrgent,urls,0.751851852
isUrgent,createdAt,0.833333333
isUrgent,X-TIKA:embedded_resource_path,1
isUrgent,X-TIKA:parse_time_millis,0.833333333
isUrgent,fraudScore,1
isUrgent,anyUrlsInContent,0.833333333
isUrgent,sentiment,1
isUrgent,Content-Type,1
isUrgent,randomCaps,0.833333333
isUrgent,X-TIKA:content_handler,1
isUrgent,locations,0.751851852
isUrgent,isReconnaissance,1
isUrgent,Message-From,1
isUrgent,isAttackerSuperior,1
isUrgent,isReceiverFromEduOrUniversity,0.751851852
isUrgent,X-TIKA:embedded_depth,0.833333333
isUrgent,attackerOffer,0.833333333
isUrgent,areUrlsMalicious,0.833333333
isUrgent,X-TIKA:content,0.833333333
isUrgent,X-Parsed-By,0.751851852
isUrgent,relationships,0.751851852
isUrgent,gdpPerCapitaPerCountry,1
isUrgent,isMalware,1
MboxParser-reply-to,Message-To,0.857142857
MboxParser-reply-to,misspellings,0.751851852
MboxParser-reply-to,numbersOfUrls,0.751851852
MboxParser-reply-to,Message:Raw-Header:Reply-To,1
MboxParser-reply-to,Author,0.857142857
MboxParser-reply-to,isSocialEngineering,0.751851852
MboxParser-reply-to,urls,0.857142857
MboxParser-reply-to,createdAt,0.751851852
MboxParser-reply-to,X-TIKA:embedded_resource_path,0.751851852
MboxParser-reply-to,X-TIKA:parse_time_millis,0.751851852
MboxParser-reply-to,fraudScore,0.751851852
MboxParser-reply-to,anyUrlsInContent,0.751851852
MboxParser-reply-to,sentiment,0.751851852
MboxParser-reply-to,Content-Type,0.751851852
MboxParser-reply-to,randomCaps,0.751851852
MboxParser-reply-to,X-TIKA:content_handler,0.751851852
MboxParser-reply-to,locations,0.857142857
MboxParser-reply-to,isReconnaissance,0.751851852
MboxParser-reply-to,Message-From,0.751851852
MboxParser-reply-to,isAttackerSuperior,0.751851852
MboxParser-reply-to,isReceiverFromEduOrUniversity,0.857142857
MboxParser-reply-to,X-TIKA:embedded_depth,0.751851852
MboxParser-reply-to,attackerOffer,0.751851852
MboxParser-reply-to,areUrlsMalicious,0.751851852
MboxParser-reply-to,X-TIKA:content,0.751851852
MboxParser-reply-to,X-Parsed-By,0.857142857
MboxParser-reply-to,relationships,0.857142857
MboxParser-reply-to,gdpPerCapitaPerCountry,0.751851852
MboxParser-reply-to,isMalware,0.751851852
Message-To,misspellings,0.751851852
Message-To,numbersOfUrls,0.751851852
Message-To,Message:Raw-Header:Reply-To,0.857142857
Message-To,Author,0.857142857
Message-To,isSocialEngineering,0.751851852
Message-To,urls,0.857142857
Message-To,createdAt,0.751851852
Message-To,X-TIKA:embedded_resource_path,0.751851852
Message-To,X-TIKA:parse_time_millis,0.751851852
Message-To,fraudScore,0.751851852
Message-To,anyUrlsInContent,0.751851852
Message-To,sentiment,0.751851852
Message-To,Content-Type,0.751851852
Message-To,randomCaps,0.751851852
Message-To,X-TIKA:content_handler,0.751851852
Message-To,locations,0.857142857
Message-To,isReconnaissance,0.751851852
Message-To,Message-From,0.751851852
Message-To,isAttackerSuperior,0.751851852
Message-To,isReceiverFromEduOrUniversity,0.857142857
Message-To,X-TIKA:embedded_depth,0.751851852
Message-To,attackerOffer,0.751851852
Message-To,areUrlsMalicious,0.751851852
Message-To,X-TIKA:content,0.835185185
Message-To,X-Parsed-By,0.857142857
Message-To,relationships,0.857142857
Message-To,gdpPerCapitaPerCountry,0.751851852
Message-To,isMalware,0.751851852
misspellings,numbersOfUrls,1
misspellings,Message:Raw-Header:Reply-To,0.751851852
misspellings,Author,0.751851852
misspellings,isSocialEngineering,0.833333333
misspellings,urls,0.751851852
misspellings,createdAt,1
misspellings,X-TIKA:embedded_resource_path,1
misspellings,X-TIKA:parse_time_millis,1
misspellings,fraudScore,1
misspellings,anyUrlsInContent,0.833333333
misspellings,sentiment,1
misspellings,Content-Type,0.833333333
misspellings,randomCaps,1
misspellings,X-TIKA:content_handler,0.833333333
misspellings,locations,0.751851852
misspellings,isReconnaissance,1
misspellings,Message-From,1
misspellings,isAttackerSuperior,1
misspellings,isReceiverFromEduOrUniversity,0.751851852
misspellings,X-TIKA:embedded_depth,1
misspellings,attackerOffer,0.833333333
misspellings,areUrlsMalicious,1
misspellings,X-TIKA:content,0.833333333
misspellings,X-Parsed-By,0.751851852
misspellings,relationships,0.835185185
misspellings,gdpPerCapitaPerCountry,0.833333333
misspellings,isMalware,1
numbersOfUrls,Message:Raw-Header:Reply-To,0.751851852
numbersOfUrls,Author,0.751851852
numbersOfUrls,isSocialEngineering,1
numbersOfUrls,urls,0.751851852
numbersOfUrls,createdAt,1
numbersOfUrls,X-TIKA:embedded_resource_path,0.833333333
numbersOfUrls,X-TIKA:parse_time_millis,0.833333333
numbersOfUrls,fraudScore,1
numbersOfUrls,anyUrlsInContent,1
numbersOfUrls,sentiment,1
numbersOfUrls,Content-Type,0.833333333
numbersOfUrls,randomCaps,0.833333333
numbersOfUrls,X-TIKA:content_handler,0.833333333
numbersOfUrls,locations,0.751851852
numbersOfUrls,isReconnaissance,0.833333333
numbersOfUrls,Message-From,1
numbersOfUrls,isAttackerSuperior,0.833333333
numbersOfUrls,isReceiverFromEduOrUniversity,0.751851852
numbersOfUrls,X-TIKA:embedded_depth,1
numbersOfUrls,attackerOffer,1
numbersOfUrls,areUrlsMalicious,0.833333333
numbersOfUrls,X-TIKA:content,0.833333333
numbersOfUrls,X-Parsed-By,0.751851852
numbersOfUrls,relationships,0.835185185
numbersOfUrls,gdpPerCapitaPerCountry,1
numbersOfUrls,isMalware,1
Message:Raw-Header:Reply-To,Author,0.857142857
Message:Raw-Header:Reply-To,isSocialEngineering,0.751851852
Message:Raw-Header:Reply-To,urls,0.857142857
Message:Raw-Header:Reply-To,createdAt,0.751851852
